Id;Número_da_estrutura_de_tópicos;Nome;Duração;Predecessoras;Custo;Início;Término;Nomes_dos_recursos
0;0;Projeto Integrador;377 dias;;R$ 280.316,00;Seg 01/07/24;Ter 09/12/25;
1;1;Planejamento Inicial;37 dias;;R$ 0,00;Seg 01/07/24;Ter 20/08/24;
2;1.1;Definição da Visão e Missão da Empresa;4 dias;;R$ 0,00;Seg 01/07/24;Qui 04/07/24;
3;1.1.1;Estabelecimento da missão;2 dias;;R$ 0,00;Seg 01/07/24;Ter 02/07/24;CEO
4;1.1.2;Reunião inicial com os fundadores para alinhar objetivos e expectativas;2 dias;3;R$ 0,00;Qua 03/07/24;Qui 04/07/24;CEO
5;1.2;Análise de Mercado;10 dias;2;R$ 0,00;Sex 05/07/24;Qui 18/07/24;
6;1.2.1;Pesquisa de mercado para identificar concorrentes e oportunidades;7 dias;;R$ 0,00;Sex 05/07/24;Seg 15/07/24;CEO
7;1.2.2;Análise SWOT (Forças/Fraquezas/Oportunidades/Ameaças);3 dias;6;R$ 0,00;Ter 16/07/24;Qui 18/07/24;CEO
8;1.3;Plano de Negócios;23 dias;5;R$ 0,00;Sex 19/07/24;Ter 20/08/24;
9;1.3.1;Desenvolvimento do plano de negócios completo;15 dias;;R$ 0,00;Sex 19/07/24;Qui 08/08/24;CEO
10;1.3.2;Definição de metas;3 dias;9;R$ 0,00;Sex 09/08/24;Ter 13/08/24;CEO
11;1.3.3;Projeções financeiras e plano de captação de recursos;5 dias;10;R$ 0,00;Qua 14/08/24;Ter 20/08/24;CEO
12;2;Estruturação Jurídica e Administrativa;81 dias;1;R$ 28.000,00;Qua 21/08/24;Qua 11/12/24;
13;2.1;Registro da Empresa;81 dias;;R$ 3.000,00;Qua 21/08/24;Qua 11/12/24;
14;2.1.1;Escolha e registro do nome da empresa;1 dia;1;R$ 0,00;Qua 21/08/24;Qua 21/08/24;CEO
15;2.1.2;Obtenção de CNPJ e registros necessários;80 dias;14;R$ 3.000,00;Qui 22/08/24;Qua 11/12/24;Contabilidade
